F11,F22,F33,F12,F13,F23,F21,F31,F32,elVol
0.974445,1.092934,0.971715,0.172675,-0.003823,-0.000236,-0.004289,-0.001474,0.027690,-0.000125
0.931959,1.184160,0.929303,0.171373,-0.008610,-0.002030,-0.015121,-0.003303,0.076300,-0.000125
0.909365,1.231277,0.909989,0.155814,-0.009004,-0.007684,-0.025291,-0.003539,0.114844,-0.000125
0.903973,1.241629,0.904524,0.144556,-0.006944,-0.017439,-0.026008,-0.004438,0.136748,-0.000125
0.904524,1.241629,0.903973,0.136748,-0.004438,-0.026008,-0.017439,-0.006944,0.144556,-0.000125
0.909989,1.231277,0.909365,0.114844,-0.003539,-0.025291,-0.007684,-0.009004,0.155814,-0.000125
0.929303,1.184160,0.931959,0.076300,-0.003303,-0.015121,-0.002030,-0.008610,0.171373,-0.000125
0.971715,1.092934,0.974445,0.027690,-0.001474,-0.004289,-0.000236,-0.003823,0.172675,-0.000125
0.971963,1.094061,0.975347,0.179005,-0.002508,-0.000891,-0.004281,-0.001120,0.080628,-0.000125
0.926643,1.186867,0.934618,0.172989,-0.005668,-0.002932,-0.015184,-0.002446,0.106503,-0.000125
0.904462,1.237893,0.911682,0.154550,-0.005625,-0.006601,-0.025464,-0.002167,0.126890,-0.000125
0.900812,1.249518,0.903600,0.141926,-0.003790,-0.011351,-0.026101,-0.002028,0.138249,-0.000125
0.903082,1.244827,0.904997,0.134786,-0.001703,-0.013869,-0.017407,-0.002879,0.142209,-0.000125
0.909808,1.225340,0.915691,0.114379,-0.000174,-0.011847,-0.007703,-0.003169,0.142076,-0.000125
0.929726,1.174389,0.940070,0.076027,0.000328,-0.006308,-0.002101,-0.002609,0.138137,-0.000125
0.971971,1.087105,0.978188,0.026340,0.000123,-0.001540,-0.000266,-0.001132,0.125307,-0.000125
0.970814,1.096588,0.975673,0.182445,-0.000932,-0.001636,-0.004383,-0.000323,0.129608,-0.000125
0.924178,1.191392,0.934293,0.173826,-0.002048,-0.006648,-0.015460,-0.000919,0.139633,-0.000125
0.902396,1.242700,0.910278,0.153218,-0.001597,-0.012310,-0.025778,-0.000399,0.140711,-0.000125
0.900015,1.251572,0.902828,0.139697,0.000128,-0.014421,-0.026349,0.000525,0.139961,-0.000125
0.903780,1.242962,0.905682,0.132659,0.002396,-0.012091,-0.017763,0.001064,0.136247,-0.000125
0.911854,1.220492,0.917062,0.113056,0.004317,-0.007399,-0.008214,0.002137,0.125965,-0.000125
0.932149,1.169760,0.940390,0.076489,0.004676,-0.003460,-0.002506,0.002635,0.106540,-0.000125
0.973092,1.084535,0.977841,0.028611,0.002148,-0.001030,-0.000406,0.001233,0.081336,-0.000125
0.970985,1.102729,0.970985,0.182950,0.000427,-0.004504,-0.004504,0.000427,0.182950,-0.000125
0.924651,1.201675,0.924651,0.174006,0.000859,-0.015917,-0.015917,0.000859,0.174006,-0.000125
0.903289,1.248500,0.903289,0.151714,0.001731,-0.026338,-0.026338,0.001731,0.151714,-0.000125
0.901645,1.248364,0.901645,0.138052,0.003155,-0.026819,-0.026819,0.003155,0.138052,-0.000125
0.906659,1.235644,0.906659,0.130287,0.004903,-0.018623,-0.018623,0.004903,0.130287,-0.000125
0.916104,1.213862,0.916104,0.111100,0.007310,-0.009367,-0.009367,0.007310,0.111100,-0.000125
0.936600,1.166358,0.936600,0.077581,0.007815,-0.003274,-0.003274,0.007815,0.077581,-0.000125
0.975134,1.082869,0.975134,0.034311,0.003552,-0.000635,-0.000635,0.003552,0.034311,-0.000125
0.972158,1.116847,0.957000,0.182602,-0.000079,-0.009613,-0.004847,0.001098,0.254964,-0.000125
0.927071,1.225571,0.900483,0.172070,0.001772,-0.036214,-0.016649,0.002532,0.204843,-0.000125
0.905777,1.251245,0.893757,0.151359,0.003191,-0.052435,-0.026688,0.003952,0.148965,-0.000125
0.904252,1.240791,0.901823,0.137495,0.002679,-0.047127,-0.026925,0.005739,0.134379,-0.000125
0.910246,1.222849,0.909550,0.128342,0.003434,-0.034956,-0.019509,0.008438,0.121220,-0.000125
0.921286,1.199895,0.918105,0.108924,0.005148,-0.017449,-0.010924,0.012421,0.102167,-0.000125
0.942180,1.162563,0.930953,0.077866,0.006533,-0.005782,-0.004308,0.013338,0.053169,-0.000125
0.977753,1.080238,0.970848,0.041342,0.003479,-0.001995,-0.000854,0.006134,-0.019707,-0.000125
0.973386,1.158975,0.915998,0.179690,0.002992,-0.032515,-0.004383,0.000098,0.381966,-0.000125
0.927802,1.256893,0.865218,0.173909,0.002213,-0.079364,-0.015943,0.003058,0.185137,-0.000125
0.905412,1.242634,0.896041,0.152864,-0.002550,-0.085854,-0.025844,0.005951,0.144575,-0.000125
0.904691,1.232119,0.903294,0.138005,-0.004052,-0.073878,-0.025938,0.007139,0.123449,-0.000125
0.911663,1.207225,0.915913,0.128262,-0.005237,-0.061753,-0.019099,0.010914,0.111804,-0.000125
0.924060,1.177307,0.928458,0.108741,-0.006687,-0.041048,-0.011467,0.016267,0.090483,-0.000125
0.945483,1.145653,0.933616,0.077129,-0.007151,-0.013217,-0.005404,0.018223,0.046848,-0.000125
0.979391,1.079194,0.964597,0.041401,-0.003420,0.000951,-0.001382,0.008723,-0.084262,-0.000125
0.981413,1.085162,0.959837,0.119173,-0.003451,0.002001,-0.001748,0.003251,-0.107895,-0.000125
0.947490,1.154387,0.926089,0.134975,-0.006201,-0.012647,-0.006389,0.005612,0.046183,-0.000125
0.922993,1.185597,0.923656,0.144058,-0.004369,-0.043748,-0.010636,0.002792,0.099182,-0.000125
0.909476,1.213940,0.913261,0.146343,-0.001312,-0.066723,-0.011367,-0.001607,0.122234,-0.000125
